pret,descriere,link
2749,"Laptop ASUS X513EA-BQ1871 cu procesor Intel® Core™ i5-1135G7, 15.6"" Full HD, 8GB, SSD 512GB, Intel Iris Xᵉ Graphics, No OS, Black",https://www.emag.ro/laptop-asus-cu-procesor-intelr-coretm-i5-1135g7-15-6-full-hd-8gb-ssd-512gb-intel-iris-x-graphics-no-os-black-x513ea-bq1871/pd/DWTHWPMBM/
1899,"Laptop ultraportabil HP 245 G7 cu procesor AMD Ryzen 3 3300U pana la 3.50 GHz, 14"", HD, 4GB, 1TB HDD, AMD Radeon™ Vega 6 Graphics, Windows 10 Home, Black",https://www.emag.ro/laptop-ultraportabil-hp-245-g7-cu-procesor-amd-ryzen-3-3300u-pana-la-3-50-ghz-14-hd-4gb-1tb-hdd-amd-radeontm-vega-6-graphics-windows-10-home-black-2d8c6eu/pd/D086G7MBM/
3199,"Laptop Gaming HP Pavilion 15-ec2025nq cu procesor AMD Ryzen™ 5 5600H, 15.6"", Full HD, 8GB, 256GB SSD, NVIDIA® GeForce® GTX 1650 4GB, Free DOS, Shadow Black",https://www.emag.ro/laptop-gaming-hp-pavilion-15-ec2025nq-cu-procesor-amd-ryzentm-5-5600h-15-6-full-hd-8gb-256gb-ssd-nvidiar-geforcer-gtx-1650-4gb-free-dos-shadow-black-402y2ea/pd/D3TPDPMBM/
3749,"Laptop Gaming HP Pavilion 16-a0001nq cu procesor Intel Core i5-10300H, 16.1"", 8GB, 1TB + SSD 256GB, nVidia GeForce GTX 1650 4GB, Free DOS, Shadow Black",https://www.emag.ro/laptop-gaming-hp-pavilion-16-a0001nq-cu-procesor-intel-core-i5-10300h-16-1-8gb-1tb-ssd-256gb-nvidia-geforce-gtx-1650-4gb-free-dos-shadow-black-239h1ea/pd/DSSMNPMBM/
3599,"Laptop Lenovo ThinkBook 15 IIL cu procesor Intel Core i7-1065G7 pana la 3.90 GHz, 15.6"", Full HD, 16GB, 512GB SSD, Intel Iris Plus Graphics, Free DOS, Mineral Grey",https://www.emag.ro/laptop-lenovo-thinkbook-15-iil-cu-procesor-intel-core-i7-1065g7-pana-la-3-90-ghz-15-6-full-hd-16gb-512gb-ssd-intel-iris-plus-graphics-free-dos-mineral-grey-20sm003jrm/pd/DKBK1TMBM/
2899,"Laptop ultraportabil Lenovo IdeaPad 5 14ITL05 cu procesor Intel Core i5-1135G7, 14"", Full HD, 8GB, 512GB SSD, Intel Iris Xe Graphics, No OS, Platinum Grey",https://www.emag.ro/laptop-ultraportabil-lenovo-ideapad-5-14itl05-cu-procesor-intel-core-i5-1135g7-14-full-hd-8gb-512gb-ssd-intel-iris-xe-graphics-no-os-platinum-grey-82fe00r1rm/pd/D7CVMPMBM/
6199,"Laptop Apple MacBook Pro 13-inch,True Tone, procesor Apple M1, 8 nuclee CPU si 8 nuclee GPU, 8GB, 256GB SSD, Space Grey, INT KB",https://www.emag.ro/laptop-apple-macbook-pro-13-inch-true-tone-procesor-apple-m1-8-nuclee-cpu-si-8-nuclee-gpu-8gb-256gb-ssd-space-grey-int-kb-myd82ze-a/pd/DN6BL7MBM/
6799,"Laptop Gaming ASUS ROG Zephyrus G14 GA401QEC cu procesor AMD Ryzen™ 9 5900HS, 14"", WQHD, 120Hz, 16GB, 1TB SSD, NVIDIA® GeForce RTX™ 3050 Ti, Windows 10 Home, Alan Walker edition, Grey, ROG Remix",https://www.emag.ro/laptop-gaming-asus-rog-zephyrus-g14-ga401qec-cu-procesor-amd-ryzentm-9-5900hs-14-wqhd-120hz-16gb-1tb-ssd-nvidiar-geforce-rtxtm-3050-ti-windows-10-home-alan-walker-edition-grey-rog-remix-ga401qec-k2064/pd/DPXZ6HMBM/
4899,"Laptop Apple MacBook Air 13-inch, True Tone, procesor Apple M1 , 8 nuclee CPU si 7 nuclee GPU, 8GB, 256GB, Gold, INT KB",https://www.emag.ro/laptop-apple-macbook-air-13-inch-true-tone-procesor-apple-m1-8-nuclee-cpu-si-7-nuclee-gpu-8gb-256gb-gold-int-kb-mgnd3ze-a/pd/DY6BL7MBM/
3099,"Laptop ASUS VivoBook 15 M513UA cu procesor AMD Ryzen™ 7 5700U, 15.6"", Full HD, OLED, 8GB, 512GB SSD, AMD Radeon™ Graphics, No Os, Indie Black",https://www.emag.ro/laptop-asus-vivobook-15-m513ua-cu-procesor-amd-ryzentm-7-5700u-15-6-full-hd-oled-8gb-512gb-ssd-amd-radeontm-graphics-no-os-indie-black-m513ua-l1301/pd/DXV3KXMBM/
