pret,descriere,link
1499,"Laptop Lenovo V15 ADA cu procesor AMD 3020E 2.60 GHz, 15.6"" Full HD, 4GB, 1TB HDD, AMD Radeon Graphics, Free DOS, Iron Grey",https://www.emag.ro/laptop-lenovo-v15-ada-cu-procesor-amd-3020e-2-60-ghz-15-6-full-hd-4gb-1tb-hdd-amd-radeon-graphics-free-dos-iron-grey-82c7008grm/pd/D8HRX3MBM/
1499,"Laptop ASUS X409FA cu procesor Intel® Core™ i3-10110U, 14"", HD, 8GB, 256GB SSD, Intel® HD Graphics 520, No OS, Peacock Blue",https://www.emag.ro/laptop-asus-x409fa-cu-procesor-intelr-coretm-i3-10110u-14-hd-8gb-256gb-ssd-intelr-hd-graphics-520-no-os-peacock-blue-x409fa-bv312/pd/DP8PHXMBM/
1499,"Laptop ultraportabil Acer Chromebook CB314 cu procesor Intel Celeron N4120 1.10 GHz, 14"", HD, 4GB, eMMC 64GB, Intel UHD Graphics 600, Chrome OS, Silver",https://www.emag.ro/laptop-ultraportabil-acer-chromebook-cb314-cu-procesor-intel-celeron-n4120-1-10-ghz-14-hd-4gb-emmc-64gb-intel-uhd-graphics-600-chrome-os-silver-nx-hpyex-002/pd/DBM0DKMBM/
1499,"Laptop ASUS ChromeBook C403NA cu procesor Intel® Celeron® N3350, 14"", HD, 4GB, 32GB eMMC, Intel® HD Graphics 500, Chrome OS, Dark Grey",https://www.emag.ro/laptop-asus-chromebook-c403na-cu-procesor-intelr-celeronr-n3350-14-hd-4gb-32gb-emmc-intelr-hd-graphics-500-chrome-os-dark-grey-c403na-fq0093/pd/D4SV1XMBM/
1529,"Laptop ultraportabil ASUS X415MA cu procesor Intel® Celeron® N4020, 14"", Full HD, 4GB, 256GB SSD, Intel® UHD Graphics 600, No OS, Slate Grey",https://www.emag.ro/laptop-ultraportabil-asus-x415ma-cu-procesor-intelr-celeronr-n4020-14-full-hd-4gb-256gb-ssd-intelr-uhd-graphics-600-no-os-slate-grey-x415ma-ek397/pd/DR52NPMBM/
1549,"Laptop HP 15-dw1032nq cu procesor Intel® Celeron® N4020, 15.6"", Full HD, 4GB, 1TB HDD, Intel UHD Graphics, Free DOS, Soke Black",https://www.emag.ro/laptop-hp-15-dw1032nq-cu-procesor-intelr-celeronr-n4020-15-6-full-hd-4gb-1tb-hdd-intel-uhd-graphics-free-dos-soke-black-2w1m9ea/pd/D2BT3PMBM/
1560,"Laptop Lenovo E41-25 cu procesor AMD Pro A4 4350B,4GB DDR4 ,500GB HDD,Display 14 inchi HD (1366 x 768) ,HDMI, VGA,FreeDOS,Black",https://www.emag.ro/laptop-lenovo-e41-25-cu-procesor-amd-pro-a4-4350b-4gb-ddr4-500gb-hdd-display-14-inchi-hd-1366-x-768-hdmi-vga-freedos-black-lg-09022024/pd/DYFBMTMBM/
1589,"Laptop Allview Allbook J cu procesor Intel® Celeron™ J4125 pana la 2.70 GHz, 15.6"", Full HD, 8GB, 256GB SSD, Intel® UHD Graphics 600, Free DOS, Grey",https://www.emag.ro/laptop-allview-cu-procesor-intelr-celerontm-j4125-pana-la-2-70-ghz-15-6-full-hd-8gb-256gb-ssd-intelr-uhd-graphics-600-free-dos-grey-allbook-j/pd/DKJSNDMBM/
1595,"Laptop Lenovo IdeaPad S150-14AST, AMD A6-9220e, 14"", 64GB eMMC, 4GB DDR4, Windows 10, Gri",https://www.emag.ro/laptop-lenovo-ideapad-s150-14ast-amd-a6-9220e-14-64gb-emmc-4gb-ddr4-windows-10-gri-81vs009gus/pd/DM6MMDMBM/
1599,"Laptop ultraportabil Acer Chromebook 314 CB314-1HT cu procesor Intel® Celeron® N4100 pana la 2.40 GHz, 14"", HD, 4GB, 64GB, Intel® UHD Graphics 600, Chrome OS™, Layout IT, Silver",https://www.emag.ro/laptop-ultraportabil-acer-chromebook-314-cb314-1ht-cu-procesor-intelr-celeronr-n4100-pana-la-2-40-ghz-14-hd-4gb-64gb-intelr-uhd-graphics-600-chrome-ostm-layout-it-silver-nx-hkbet-007/pd/DKHBMXMBM/
